epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3489,0.97419,2.31055,1.21777,0.95932,0.94459,0.98483,0.80614,0.73882,1.76611,1.09825,0.000550054,0.000550054,0.000550054
2,26.1534,0.91572,1.4873,1.14698,0.91711,0.96182,0.98651,0.77072,0.84713,1.5805,1.09967,0.00109477,0.00109477,0.00109477
3,39.3439,0.90156,1.41374,1.13932,0.9026,0.7959,0.94276,0.76431,0.74943,1.80523,1.06741,0.00162849,0.00162849,0.00162849
4,53.0444,0.86974,1.23432,1.10933,0.97075,0.99067,0.99322,0.83165,0.67095,1.14496,1.02658,0.00161749,0.00161749,0.00161749
5,66.9471,0.8393,1.05847,1.08196,0.9904,0.97321,0.99337,0.86303,0.63126,0.9748,1.00355,0.00160099,0.00160099,0.00160099
6,80.7298,0.79486,0.99105,1.07552,0.99481,0.9901,0.99475,0.85887,0.60041,0.82517,0.95641,0.00158448,0.00158448,0.00158448
7,94.7372,0.82549,0.93539,1.07545,0.97724,0.97282,0.99184,0.85399,0.61568,0.80517,0.97516,0.00156798,0.00156798,0.00156798
8,108.348,0.76657,0.8029,1.04515,0.99402,0.99793,0.995,0.85833,0.63746,0.75674,1.01184,0.00155148,0.00155148,0.00155148
9,122.081,0.73019,0.78865,1.04054,0.97753,0.98214,0.99465,0.8629,0.58745,0.66194,0.95723,0.00153497,0.00153497,0.00153497
10,136.529,0.72017,0.73966,1.04326,0.98297,1,0.99474,0.86588,0.56662,0.58665,0.97346,0.00151847,0.00151847,0.00151847
11,150.315,0.69252,0.65547,1.00822,0.99191,1,0.995,0.86859,0.57137,0.51603,0.97627,0.00150197,0.00150197,0.00150197
12,164.201,0.68726,0.62877,0.99583,0.99608,1,0.995,0.87064,0.58788,0.51004,0.96305,0.00148546,0.00148546,0.00148546
13,177.957,0.68219,0.61582,1.0095,0.98288,0.99107,0.99385,0.87159,0.54288,0.46975,0.94708,0.00146896,0.00146896,0.00146896
14,191.884,0.67967,0.62255,1.01013,0.98938,1,0.995,0.88824,0.5165,0.45942,0.92561,0.00145246,0.00145246,0.00145246
15,205.735,0.69573,0.59696,1.01933,0.99724,0.99905,0.995,0.89026,0.53947,0.42023,0.93042,0.00143595,0.00143595,0.00143595
16,219.77,0.6656,0.56511,1.00393,0.97972,1,0.99247,0.85466,0.56401,0.41825,0.96162,0.00141945,0.00141945,0.00141945
17,234.149,0.64765,0.52207,0.98907,0.99823,1,0.995,0.87631,0.54319,0.38589,0.94041,0.00140295,0.00140295,0.00140295
18,248.077,0.65417,0.53975,0.99993,0.99412,1,0.995,0.88204,0.55154,0.40699,0.97844,0.00138644,0.00138644,0.00138644
19,262.751,0.65449,0.55144,1.00852,0.99518,1,0.995,0.88146,0.52523,0.39639,0.95107,0.00136994,0.00136994,0.00136994
20,276.679,0.6854,0.56561,1.02253,0.99464,1,0.995,0.88595,0.49608,0.38263,0.92838,0.00135344,0.00135344,0.00135344
21,293.223,0.64793,0.52567,0.98716,0.99829,1,0.995,0.87605,0.53628,0.36553,0.93974,0.00133693,0.00133693,0.00133693
22,307.685,0.637,0.48612,0.98565,0.9969,1,0.995,0.87981,0.52792,0.36031,0.92433,0.00132043,0.00132043,0.00132043
23,322.269,0.65881,0.49723,0.99127,0.99523,0.99905,0.995,0.88268,0.4907,0.36888,0.92433,0.00130393,0.00130393,0.00130393
24,338.766,0.61699,0.49518,0.98037,0.99514,1,0.995,0.8823,0.52152,0.35864,0.9373,0.00128742,0.00128742,0.00128742
25,353.106,0.6014,0.47117,0.97446,0.98886,1,0.99474,0.87654,0.52594,0.34327,0.93447,0.00127092,0.00127092,0.00127092
26,367.046,0.63867,0.48111,0.98701,0.99771,1,0.995,0.90016,0.48636,0.32405,0.91872,0.00125442,0.00125442,0.00125442
27,381.669,0.61592,0.47798,0.98183,0.99735,1,0.995,0.8846,0.50209,0.32587,0.91708,0.00123791,0.00123791,0.00123791
