frame,track_id,label,is_true_detection,lidar_distance,camera_distance,distance_diff,fps
1,-1,,0,,,,82.83
2,-1,,0,,,,1.45
3,1,turtlebot,1,1.4739999771118164,0.2666527865353741,1.2073471905764424,39.54
4,1,turtlebot,1,1.4390000104904175,0.2666527865353741,1.1723472239550434,39.96
5,1,turtlebot,1,1.4459999799728394,0.2791410997911054,1.166858880181734,39.9
6,1,turtlebot,1,1.4459999799728394,0.27280467206671555,1.173195307906124,39.68
7,1,turtlebot,1,1.468999981880188,0.2666527865353741,1.202347195344814,38.5
8,1,turtlebot,1,1.468999981880188,0.2666527865353741,1.202347195344814,39.57
9,1,turtlebot,1,1.468999981880188,0.2666527865353741,1.202347195344814,36.65
10,1,turtlebot,1,1.468999981880188,0.26067812771579413,1.2083218541643939,37.47
11,1,turtlebot,1,1.468999981880188,0.2666527865353741,1.202347195344814,31.39
12,1,turtlebot,1,1.468999981880188,0.2666527865353741,1.202347195344814,40.21
13,1,turtlebot,1,1.468999981880188,0.2666527865353741,1.202347195344814,41.63
14,1,turtlebot,1,1.4450000524520874,0.2791410997911054,1.165858952660982,41.33
15,1,turtlebot,1,1.4450000524520874,0.2666527865353741,1.1783472659167133,9.83
16,1,turtlebot,1,1.4450000524520874,0.2666527865353741,1.1783472659167133,10.21
17,1,turtlebot,1,1.4520000219345093,0.2666527865353741,1.1853472353991352,39.6
18,1,turtlebot,1,1.4520000219345093,0.2791410997911054,1.1728589221434038,33.46
19,1,turtlebot,1,1.4520000219345093,0.2548737436803215,1.1971262782541878,27.01
20,1,turtlebot,1,1.4520000219345093,0.249233024445843,1.2027669974886663,16.72
21,1,turtlebot,1,1.4520000219345093,0.249233024445843,1.2027669974886663,30.08
22,1,turtlebot,1,1.4620000123977661,0.2548737436803215,1.2071262687174447,23.29
23,1,turtlebot,1,1.4620000123977661,0.23323147187787457,1.2287685405198916,20.39
24,1,turtlebot,1,1.4620000123977661,0.23323147187787457,1.2287685405198916,17.85
25,1,turtlebot,1,2.134999990463257,0.22818547481810797,1.9068145156451488,15.91
26,1,turtlebot,1,2.134999990463257,0.24374968185416074,1.8912503086090962,14.99
27,1,turtlebot,1,2.134999990463257,0.23841773082536105,1.8965822596378958,14.89
28,1,turtlebot,1,1.4299999475479126,0.2548737436803215,1.1751262038675911,15.12
29,1,turtlebot,1,1.4299999475479126,0.2548737436803215,1.1751262038675911,14.33
30,1,turtlebot,1,1.4299999475479126,0.2548737436803215,1.1751262038675911,15.59
31,1,turtlebot,1,1.4329999685287476,0.26067812771579413,1.1723218408129534,15.05
32,1,turtlebot,1,1.4329999685287476,0.27280467206671555,1.1601952964620321,15.05
33,1,turtlebot,1,1.4329999685287476,0.2791410997911054,1.153858868737642,9.56
34,1,turtlebot,1,1.4010000228881836,0.249233024445843,1.1517669984423407,31.44
35,1,turtlebot,1,1.4010000228881836,0.23841773082536105,1.1625822920628226,14.04
36,1,turtlebot,1,1.4010000228881836,0.23841773082536105,1.1625822920628226,16.74
37,1,turtlebot,1,1.3300000429153442,0.249233024445843,1.0807670184695013,15.18
38,1,turtlebot,1,1.3300000429153442,0.23323147187787457,1.0967685710374697,15.05
39,1,turtlebot,1,1.3300000429153442,0.23323147187787457,1.0967685710374697,13.9
40,1,turtlebot,1,1.3389999866485596,0.22818547481810797,1.1108145118304515,16.3
41,1,turtlebot,1,1.3389999866485596,0.22818547481810797,1.1108145118304515,14.89
42,1,turtlebot,1,1.3389999866485596,0.22327456351083647,1.1157254231377232,14.97
43,1,turtlebot,1,1.3389999866485596,0.22327456351083647,1.1157254231377232,10.7
44,1,turtlebot,1,1.2510000467300415,0.21849380164908005,1.0325062450809614,10.3
45,1,turtlebot,1,1.2510000467300415,0.2138384794490038,1.0371615672810377,22.82
46,1,turtlebot,1,1.3170000314712524,0.21849380164908005,1.0985062298221724,31.38
47,1,turtlebot,1,1.3170000314712524,0.2138384794490038,1.1031615520222486,15.03
48,1,turtlebot,1,1.3170000314712524,0.2548737436803215,1.062126287790931,15.0
49,1,turtlebot,1,1.4140000343322754,0.2548737436803215,1.159126290651954,14.41
50,1,turtlebot,1,1.4140000343322754,0.26067812771579413,1.1533219066164813,15.63
51,1,turtlebot,1,1.4140000343322754,0.26067812771579413,1.1533219066164813,15.03
52,1,turtlebot,1,1.3669999837875366,0.26067812771579413,1.1063218560717425,14.69
53,1,turtlebot,1,1.3669999837875366,0.2666527865353741,1.1003471972521626,12.72
54,1,turtlebot,1,1.3669999837875366,0.2666527865353741,1.1003471972521626,17.56
55,1,turtlebot,1,1.2480000257492065,0.26067812771579413,0.9873218980334124,15.76
56,1,turtlebot,1,1.2480000257492065,0.2666527865353741,0.9813472392138325,15.1
57,1,turtlebot,1,1.2480000257492065,0.2666527865353741,0.9813472392138325,14.86
58,1,turtlebot,1,1.315999984741211,0.2666527865353741,1.0493471982058369,15.04
59,1,turtlebot,1,1.315999984741211,0.27280467206671555,1.0431953126744955,11.39
60,1,turtlebot,1,1.315999984741211,0.27280467206671555,1.0431953126744955,9.19
61,1,turtlebot,1,1.2929999828338623,0.27280467206671555,1.0201953107671469,11.2
62,1,turtlebot,1,1.2929999828338623,0.27280467206671555,1.0201953107671469,28.32
63,1,turtlebot,1,1.2929999828338623,0.27280467206671555,1.0201953107671469,29.05
64,1,turtlebot,1,1.7280000448226929,0.2791410997911054,1.4488589450315874,22.71
65,1,turtlebot,1,1.7280000448226929,0.2791410997911054,1.4488589450315874,15.49
66,1,turtlebot,1,1.7280000448226929,0.2791410997911054,1.4488589450315874,14.89
67,1,turtlebot,1,1.2730000019073486,0.285669771969743,0.9873302299376057,15.11
68,1,turtlebot,1,1.2730000019073486,0.285669771969743,0.9873302299376057,14.33
69,1,turtlebot,1,1.2730000019073486,0.2791410997911054,0.9938589021162432,15.21
70,1,turtlebot,1,1.2730000019073486,0.285669771969743,0.9873302299376057,14.67
71,1,turtlebot,1,1.25,0.285669771969743,0.964330228030257,15.85
72,1,turtlebot,1,1.25,0.285669771969743,0.964330228030257,15.0
73,1,turtlebot,1,1.25,0.29239880262741114,0.9576011973725889,14.46
74,1,turtlebot,1,1.156999945640564,0.29239880262741114,0.8646011430131528,14.83
75,1,turtlebot,1,1.156999945640564,0.2993367444475917,0.8576632011929723,15.67
76,1,turtlebot,1,1.156999945640564,0.2993367444475917,0.8576632011929723,9.7
77,1,turtlebot,1,1.100000023841858,0.29239880262741114,0.8076012212144468,29.34
78,1,turtlebot,1,1.100000023841858,0.2993367444475917,0.8006632793942663,8.74
79,1,,0,1.100000023841858,,,33.32
80,1,,0,0.921999990940094,,,19.51
81,1,,0,0.921999990940094,,,15.0
82,1,,0,0.906000018119812,,,15.0
83,1,,0,0.906000018119812,,,14.84
84,1,,0,0.906000018119812,,,14.7
85,1,,0,0.7369999885559082,,,15.47
86,1,,0,0.7369999885559082,,,14.96
87,1,,0,0.7369999885559082,,,14.91
88,1,,0,0.7369999885559082,,,13.75
89,6,turtlebot,1,0.7509999871253967,0.15964321847913937,0.5913567686462573,9.74
90,6,turtlebot,1,0.7509999871253967,0.15642612887832164,0.5945738582470751,40.44
91,6,turtlebot,1,0.7509999871253967,0.15642612887832164,0.5945738582470751,14.78
92,6,turtlebot,1,0.6890000104904175,0.15328178361834238,0.535718226872075,15.37
93,6,turtlebot,1,0.6890000104904175,0.15328178361834238,0.535718226872075,14.45
94,6,turtlebot,1,0.6890000104904175,0.15020792448300002,0.5387920860074175,14.56
95,6,turtlebot,1,0.6890000104904175,0.1472023815876175,0.5417976289027999,15.71
96,6,turtlebot,1,0.6890000104904175,0.1472023815876175,0.5417976289027999,15.02
97,6,turtlebot,1,0.6890000104904175,0.14138798197575003,0.5476120285146675,15.07
98,6,turtlebot,1,1.0260000228881836,0.13857519093650617,0.8874248319516774,15.05
99,6,turtlebot,1,1.0260000228881836,0.13857519093650617,0.8874248319516774,14.24
100,6,turtlebot,1,1.0260000228881836,0.13582284027360883,0.8901771826145748,15.83
101,6,turtlebot,1,1.1469999551773071,0.13582284027360883,1.0111771149036983,14.96
102,6,turtlebot,1,1.1469999551773071,0.13312914386940133,1.0138708113079058,14.93
103,6,turtlebot,1,1.1469999551773071,,,14.81
104,6,turtlebot,1,1.1200000047683716,,,14.53
105,6,turtlebot,1,1.1200000047683716,,,15.78
106,6,turtlebot,1,1.1200000047683716,,,14.98
107,6,turtlebot,1,1.1749999523162842,,,15.06
108,6,turtlebot,1,1.1749999523162842,,,14.92
109,6,turtlebot,1,1.1749999523162842,,,14.26
110,6,turtlebot,1,2.430000066757202,,,15.96
111,6,turtlebot,1,2.430000066757202,,,14.97
112,6,turtlebot,1,2.430000066757202,,,14.69
113,6,turtlebot,1,0.7559999823570251,,,15.16
114,6,turtlebot,1,0.7559999823570251,,,14.22
115,6,turtlebot,1,0.7559999823570251,,,15.68
116,6,turtlebot,1,0.6259999871253967,,,15.36
117,6,turtlebot,1,0.6259999871253967,,,15.01
118,6,turtlebot,1,0.6259999871253967,,,15.01
119,6,,0,0.6480000019073486,,,14.29
120,6,,0,0.6480000019073486,,,15.65
121,6,,0,0.6480000019073486,,,15.03
122,6,,0,0.7639999985694885,,,15.05
123,6,,0,0.7639999985694885,,,14.68
124,6,,0,0.7639999985694885,,,14.63
125,6,,0,0.18000000715255737,,,15.75
126,6,,0,0.18000000715255737,,,14.98
127,6,,0,0.18000000715255737,,,14.97
128,6,,0,0.1469999998807907,,,14.99
129,-1,,0,0.1469999998807907,,,14.92
130,-1,,0,0.1469999998807907,,,15.48
131,-1,,0,0.7720000147819519,,,14.96
132,-1,,0,0.7720000147819519,,,14.97
133,-1,,0,0.7720000147819519,,,14.76
134,-1,,0,0.6690000295639038,,,14.81
135,-1,,0,0.6690000295639038,,,15.23
136,-1,,0,0.6690000295639038,,,15.19
137,-1,,0,0.6579999923706055,,,14.94
138,-1,,0,0.6579999923706055,,,15.08
139,-1,,0,0.6579999923706055,,,14.59
140,-1,,0,0.6940000057220459,,,15.47
141,-1,,0,0.6940000057220459,,,14.91
142,-1,,0,0.6940000057220459,,,15.06
143,-1,,0,0.6729999780654907,,,14.91
144,-1,,0,0.6729999780654907,,,14.46
145,-1,,0,0.6729999780654907,,,15.6
146,-1,,0,0.6480000019073486,,,15.03
147,-1,,0,0.6480000019073486,,,14.68
148,-1,,0,0.6480000019073486,,,15.43
149,-1,,0,0.675000011920929,,,14.57
150,-1,,0,0.675000011920929,,,15.43
151,-1,,0,0.675000011920929,,,14.99
152,-1,,0,0.628000020980835,,,14.99
153,-1,,0,0.628000020980835,,,14.73
154,-1,,0,0.628000020980835,,,14.9
155,-1,,0,0.6570000052452087,,,15.49
156,-1,,0,0.6570000052452087,,,14.4
157,-1,,0,0.6570000052452087,,,15.52
158,-1,,0,0.640999972820282,,,15.03
159,-1,,0,0.640999972820282,,,14.12
160,-1,,0,0.640999972820282,,,16.08
161,-1,,0,0.628000020980835,,,14.56
162,-1,,0,0.628000020980835,,,15.01
163,-1,,0,0.628000020980835,,,14.79
164,-1,,0,0.6710000038146973,,,14.64
165,-1,,0,0.6710000038146973,,,15.51
166,-1,,0,0.6710000038146973,,,15.08
167,-1,,0,0.6869999766349792,,,15.0
168,-1,,0,0.6869999766349792,,,14.96
169,-1,,0,0.6869999766349792,,,14.52
170,-1,,0,0.6669999957084656,,,15.5
171,-1,,0,0.6669999957084656,,,14.93
172,-1,,0,0.6669999957084656,,,14.96
173,-1,,0,0.6779999732971191,,,14.94
174,-1,,0,0.6779999732971191,,,14.56
175,-1,,0,0.6779999732971191,,,15.59
176,-1,,0,0.6269999742507935,,,14.97
177,-1,,0,0.6269999742507935,,,15.08
178,-1,,0,0.6269999742507935,,,15.01
179,-1,,0,0.6480000019073486,,,14.43
180,-1,,0,0.6480000019073486,,,15.65
181,-1,,0,0.6480000019073486,,,14.95
182,-1,,0,0.6579999923706055,,,15.08
183,-1,,0,0.6579999923706055,,,14.7
184,-1,,0,0.6579999923706055,,,14.73
185,-1,,0,0.6790000200271606,,,15.63
186,-1,,0,0.6790000200271606,,,15.01
187,-1,,0,0.6790000200271606,,,14.94
188,-1,,0,0.6449999809265137,,,14.9
189,-1,,0,0.6449999809265137,,,14.47
190,-1,,0,0.6449999809265137,,,15.62
191,-1,,0,0.6629999876022339,,,15.0
192,-1,,0,0.6629999876022339,,,14.96
193,-1,,0,0.6629999876022339,,,14.89
194,-1,,0,0.6769999861717224,,,14.33
195,-1,,0,0.6769999861717224,,,16.02
196,-1,,0,0.6769999861717224,,,14.93
197,-1,,0,0.6510000228881836,,,15.35
198,-1,,0,0.6510000228881836,,,15.03
199,-1,,0,0.6510000228881836,,,14.66
200,-1,,0,0.6439999938011169,,,15.39
201,-1,,0,0.6439999938011169,,,14.87
202,-1,,0,0.6439999938011169,,,15.17
203,-1,,0,0.6769999861717224,,,14.81
204,-1,,0,0.6769999861717224,,,14.81
